장르,순위,제목,저자,출판사,가격,써머리,추천사,이 책을 좋아해야 할 이유
자기계발,11,아주 작은 습관의 힘 (50만부 기념 에디션),제임스 클리어,비즈니스북스,16200,"매일 1% 복리 습관. 1500만부.","인생에서 가장 영향력 있었던 책으로 꼽는 사람이 가장 많다.","매일 1%만 나아지면 1년 후 37배. 습관의 4단계(신호-열망-반응-보상)를 설계하면 의지력 없이도 좋은 습관이 자동으로 작동한다. 전 세계 1500만부 판매. 거창한 결심보다 아주 작은 변화가 인생을 바꾼다는 사실을 증명해주는 책. 50만부 기념 에디션으로 소장 가치까지."
자기계발,12,렛뎀 이론,멜 로빈스,비즈니스북스,18000,"타인 통제 멈추기.","그냥 놔둬라. 인간관계 스트레스가 확 줄어든다.","타인의 행동과 생각은 내 통제 밖이다. 이 단순한 깨달음이 인간관계 에너지 소모를 획기적으로 줄여준다. 렛뎀. 그냥 놔둬라. 비교를 멈추고 두려움을 극복하고 자기 의심에서 벗어나는 실전 도구를 제공한다. SNS를 통해 끊임없이 비교하고 평가받는 환경에서 이 책의 메시지가 특히 절실하다."
자기계발,13,폰더 씨의 위대한 하루,앤디 앤드루스,세종,16200,"7가지 인생 결정의 우화.","짧지만 강렬한 인생 우화.","우연히 만난 현자들이 들려주는 7가지 인생 결정. 짧은 우화 형식이지만 각 결정이 삶의 방향을 바꿀 수 있는 무게를 가지고 있다. 한두 시간이면 읽지만 오래 생각하게 만드는 책. 인생의 갈림길에서 어떤 선택을 해야 할지 고민될 때 꺼내 읽기 좋다."
자기계발,14,미라클 모닝 After 50,할 엘로드 외,필름,19800,"50대 이후를 위한 아침 루틴.","인생 후반전을 설계하는 아침 습관.","미라클 모닝 시리즈의 50대 이상 맞춤판. 아침 루틴이 인생 후반전을 어떻게 바꿀 수 있는지 구체적으로 안내한다. 은퇴 후 공허함, 건강 관리, 새로운 목표 설정까지. 나이가 들수록 아침의 힘이 커진다는 메시지가 설득력 있다."
자기계발,15,생각의 도약,도야마 시게히코,페이지2,16200,"사고의 틀을 깨는 기술.","기획자/마케터의 아웃풋을 한 단계 올리는 책.","아이디어가 안 나오는 건 재능 부족이 아니라 사고법의 문제다. 기존 틀을 깨는 구체적 기술을 알려준다. 같은 정보를 보고도 다른 결론을 내는 사람들의 비밀은 사고의 도약에 있다. 기획서와 보고서를 만드는 직장인이라면 이 책이 아웃풋의 질을 바꿔줄 것이다."
자기계발,16,딱 1년만 미쳐라,리치파카,모티브,17820,"1년 몰입으로 인생 전환.","방향은 나중에 정해도 된다. 일단 몰입부터.","뭘 해야 할지 모르겠다면 딱 1년만 미쳐봐라. 방향은 나중에 정해도 된다. 일단 몰입의 경험이 있어야 방향이 보인다. 동기부여에서 끝나지 않고 실천 전략까지 제시하는 게 차별점이다. 행동력이 부족한 게 아니라 시작의 용기가 부족한 거라는 메시지."
자기계발,17,손자병법,손무,현대지성,11700,"2500년 전략의 고전.","모든 경쟁의 기본 원리.","2500년 전에 쓰인 전쟁 전략서가 왜 비즈니스 필독서일까? 손자병법의 원리는 모든 경쟁 상황에 적용된다. 지피지기면 백전불태. 상대를 알고 나를 알면 위태로움이 없다. 11700원에 인류 최고의 전략 고전을 만날 수 있다. 현대지성의 번역으로 접근성도 높다."
자기계발,18,데일 카네기 인간관계론 (50만부 초판 무삭제 완역본),데일 카네기,현대지성,10350,"인간관계의 바이블.","90년이 지나도 인간관계의 기본은 변하지 않는다.","1936년에 출간되어 전 세계 6000만부가 팔린 인간관계의 바이블. 상대의 이름을 불러라, 진심으로 관심을 가져라, 비난하지 말라. 단순해 보이는 원칙들이 90년이 지나도 유효한 이유는 인간의 본성이 변하지 않기 때문이다. 초판 무삭제 완역본으로 원래의 메시지를 온전히 만날 수 있다."
자기계발,19,감사하는 뇌가 인생을 바꾼다,"가바사와 시온, 다시로 마사타카",현대지성,15210,"감사의 뇌과학적 효과.","감사가 뇌를 물리적으로 변화시킨다.","감사가 좋은 거라는 건 누구나 안다. 하지만 감사가 뇌를 물리적으로 변화시킨다는 건 모를 수 있다. 이 책은 감사의 효과를 뇌과학적으로 증명한다. 감사 일기를 쓰면 도파민과 세로토닌이 분비되고 스트레스 호르몬이 줄어든다. 과학적 근거 위에 세워진 감사 습관 가이드."
자기계발,20,그만 배우기의 기술,팻 플린,어크로스,16920,"배움 중독에서 벗어나기.","인풋 과잉 시대의 해독제.","강의를 듣고 책을 읽고 유튜브를 보지만 달라지는 건 없다. 배움 중독이다. 이 책은 그만 배우고 실행하라고 말한다. 완벽히 준비된 후에 시작하겠다는 생각이 가장 큰 장애물이다. 80%만 알아도 시작할 수 있고, 나머지 20%는 하면서 배운다. 인풋 과잉 시대의 해독제."
에세이,1,사랑이 있으니 살아집디다,"유시민, 김세라",은빛,16200,"유시민과 딸의 세대를 넘는 대화.","부모와 자녀 사이의 소통 모델.","아버지와 딸이 삶과 사랑과 죽음에 대해 이렇게 솔직하게 대화할 수 있다니. 같은 주제를 다른 세대의 눈으로 풀어내는 두 사람의 대화가 우리 가족과의 관계를 돌아보게 만든다. 완벽한 부녀가 아니라 서로 다르기에 더 풍요로운 대화의 가능성을 보여준다. 부모님과 대화가 어려운 사람에게 다리가 되어줄 책."
에세이,2,엄마와 딸들의 미친년의 역사,이랑,이야기장수,16020,"언니의 소진사에서 출발한 가족사.","슬픔의 역사이면서 사랑의 기록.","2021년 12월 이랑의 언니가 죽었다. 이랑은 그것을 자살이 아닌 소진사라 부른다. 가난과 폭력과 남아선호 속에서 이어져 온 여성들의 삶을 집요하게 파고든다. 일본과 대만에서 먼저 출간된 후 국내에 역수입된 건 이 이야기가 한국만의 것이 아니기 때문이다. 정돈된 에세이가 아니라 미친년의 언어로 쓰인 역사. 우리 엄마와 할머니의 이야기일 수도 있다."
에세이,3,일본 광고 카피 도감,오하림,서교책방,16920,"일본 명작 광고 카피 큐레이션.","한 문장의 힘을 보여주는 영감 사전.","짧은 한 문장이 어떻게 사람의 마음을 움직이는지를 보여주는 도감. 광고 카피는 세상에서 가장 짧은 문학이라는 말이 있다. 글을 쓰는 모든 사람에게 영감을 준다. 에세이 카테고리에 있지만 마케터와 기획자에게도 필수 레퍼런스. 틈틈이 펼쳐보며 언어 감각을 키우기에 최적."
에세이,4,정답은 있다,이정효,다산북스,16200,"축구 감독의 인생 철학.","직설적 전술가의 확신 있는 메시지.","수원 삼성 감독 이정효는 빙빙 돌리지 않는다. 튀는 행동과 직설적 화법으로 주목받는 인물의 첫 에세이. 축구 전술가의 이야기지만 핵심은 리더십과 인생이다. 모든 것이 불확실한 시대에 정답은 있다고 말하는 사람이 있다는 것만으로도 위안이 된다."
에세이,5,"소유하기, 소유되기",율라 비스,열린책들,19800,"소유와 자본주의에 대한 성찰.","우리가 물건을 소유하는가, 물건이 우리를 소유하는가.","소유라는 개념을 근본적으로 재검토하는 에세이. 집, 차, 명품, 주식. 우리는 끊임없이 소유하려 하지만 어느 순간 소유물이 우리를 지배하고 있다는 걸 깨닫는다. 율라 비스의 날카로운 시선은 자본주의 사회에서 소유의 의미를 다시 묻게 만든다. 미니멀리즘이 아닌 철학적 깊이에서 소유를 탐구한다."
에세이,6,쓰는 만큼 내가 된다,리니,더퀘스트,16200,"글쓰기를 통한 자기 발견.","매일 쓰는 습관이 나를 만든다.","브런치든 노션이든 종이 일기장이든 상관없다. 매일 쓰는 습관은 자기 발견의 가장 강력한 도구다. 거창한 작가 되기가 아니라 나를 알아가는 글쓰기. 기록하는 사람과 아닌 사람의 차이가 시간이 지날수록 벌어진다. 1년 후 돌아볼 때 기록이 남아있는 사람만이 성장을 확인할 수 있다."
에세이,7,불안,알랭 드 보통,은행나무,16200,"지위 불안의 철학적 탐구.","2003년에 쓴 책인데 SNS 시대에 더 절실하다.","남들은 다 잘 사는 것 같고 나만 뒤처진 것 같은 불안. 알랭 드 보통은 이 감정의 뿌리를 철학적으로 파고든다. 20년 전에 쓴 책인데 비교의 채널이 기하급수적으로 늘어난 SNS 시대에 더 절실하다. 불안의 정체를 이해하면 조금은 자유로워질 수 있다."
에세이,8,너를 아끼며 살아라,나태주,더블북,16650,"풀꽃 시인의 산문.","소소한 일상에서 발견하는 사랑과 위로.","자세히 보아야 예쁘다 오래 보아야 사랑스럽다. 이 시구로 국민 시인이 된 나태주의 산문. 소소한 일상에서 발견하는 사랑과 위로의 메시지가 가득하다. 바쁜 일상에 치이다가도 이 책을 펼치면 잠시 멈춰 주변을 돌아보게 된다. 10대부터 70대까지 세대를 초월하는 공감력."
에세이,9,매일 아침 나는 텃밭에 간다,강철원,한즈미디어,16650,"도시인의 텃밭 에세이.","흙을 만지며 일상을 치유하는 과정.","콘크리트 도시에서 살다가 작은 텃밭을 가꾸기 시작한 사람의 이야기. 흙을 만지고 씨앗을 뿌리고 자라는 것을 지켜보는 단순한 행위가 일상을 치유한다. 자연과의 접촉이 정신 건강에 미치는 영향을 체험으로 보여주는 에세이. 번아웃에 지친 도시인에게 새로운 힐링 방법을 제안한다."
에세이,10,56년 샘터 잊지 못할 명문장,월간 샘터,샘터사,18000,"56년간의 명문장 모음.","시대를 초월한 삶의 지혜 큐레이션.","56년간 월간 샘터에 실린 글 중에서 잊지 못할 명문장을 큐레이션했다. 수십 명의 작가와 지식인이 남긴 삶의 지혜가 한 권에. 처음부터 끝까지 읽지 않아도 된다. 아무 페이지나 펼쳐서 만나는 한 문장이 그날의 위로가 될 수 있다. 시대를 초월하는 지혜의 보물창고."
에세이,11,어른의 행복은 조용하다,태수,페이지2,16020,"단단한 일상적 행복.","화려하지 않아도 단단한 행복이 있다.","20대에는 화려한 행복을 꿈꾼다. 30대가 되면 조금 달라진다. 퇴근 후 집에서 보내는 조용한 시간, 주말 아침의 여유. 이 에세이는 그런 어른의 행복을 그린다. 행복의 정의가 나이와 함께 변한다는 걸 보여주는 책. 성숙한 행복이란 뭔지 알고 싶다면."
에세이,12,행복할 거야 이래도 되나 싶을 정도로,일홍,부크럼,16200,"행복=과정. 누적 10만부.","올해 가장 많이 선물된 책.","행복은 성취가 아니라 과정이다. 거창한 성공이 아니라 일상의 작은 순간에서 행복을 발견하는 법. 10만부 팔린 건 그만큼 많은 사람이 이 위로가 필요했다는 뜻이다. 행복의 기준을 바꿔주는 책. 연봉과 집과 차가 행복의 조건이 아니라 지금 이 순간을 어떻게 보내느냐가 행복이라는 관점의 전환."
에세이,13,소년과 두더지와 여우와 말,찰리 맥커시,상상의힘,19800,"네 친구의 인생 대화. 1000만부.","5분이면 읽지만 평생 기억에 남는다.","가장 용감한 것은 도움을 구하는 것이다. 이 한 문장에 울었다는 후기가 수천 개다. 그림과 글이 함께하는 이 작은 책은 전 세계 1000만 명의 마음을 어루만졌다. 5분이면 읽지만 그 5분이 평생 기억에 남는다. 힘든 사람에게 선물하기에 이보다 완벽한 책이 없다."
에세이,14,구원에게,정영욱,부크럼,16200,"사랑/이별/일상의 감성 에세이.","작은 공감이 필요한 밤에.","사랑하고 이별하고 다시 일상으로 돌아오는 감정의 결을 잔잔하게 따라가는 에세이. 큰 깨달음이 아니라 작은 공감을 준다. 아 나도 그랬는데. 그 한마디가 필요한 밤이 있다. 감정을 정리할 시간이 부족한 우리에게 잠시 멈춰서 마음을 들여다볼 여유를 준다."
에세이,15,오래된 세계의 농담,이다혜,오리지널스,16200,"영화 평론가의 문화 에세이.","영화/문학/일상을 넘나드는 유머와 사유.","영화 평론가 이다혜의 문화 에세이. 영화와 문학과 일상을 넘나들며 세상을 독특한 시선으로 관찰한다. 유머와 사유가 공존하는 문체가 매력적이다. 문화 콘텐츠를 많이 소비하는 독자라면 공감 포인트가 넘친다."
에세이,16,악수도 없이 헤어졌다,피천득,민음사,13500,"한국 수필 문학 거장의 산문.","담백하고 아름다운 문장의 정수.","한국 수필 문학의 거장 피천득의 산문 모음. 인연과 이별에 대한 담백한 이야기. 화려하지 않지만 아름다운 문장의 정수를 만날 수 있다. 민음사 판본으로 소장 가치도 높다. 조용한 오후에 천천히 읽기 좋은 책."
에세이,17,그저 하루치의 낙담,박선영,반비,16920,"일상의 작은 낙담에 대한 에세이.","완벽하지 않은 하루를 위로하는 글.","거창한 실패가 아니라 일상의 작은 낙담에 대한 이야기. 오늘 하루가 기대만큼 좋지 않았을 때, 그저 하루치의 낙담이라고 말해주는 이 에세이가 위안이 된다. 내일은 또 다른 하루니까. 완벽하지 않은 날들을 보내는 모든 사람을 위한 책."
에세이,18,제철 행복,김신지,인플루엔셜,16020,"계절에 맞는 행복을 찾는 에세이.","행복에도 제철이 있다.","봄에는 봄의 행복이 있고 겨울에는 겨울의 행복이 있다. 행복에도 제철이 있다는 발상이 신선하다. 각 계절에 맞는 작은 행복을 발견하고 즐기는 법을 담았다. 사계절을 따라가며 읽으면 1년이 더 풍요로워진다."
에세이,19,달리기를 말할 때 내가 하고 싶은 이야기,무라카미 하루키,문학사상,13050,"하루키의 달리기 에세이.","달리기와 글쓰기, 삶에 대한 통찰.","소설가 무라카미 하루키가 마라톤을 뛰며 생각한 것들. 달리기와 글쓰기의 공통점, 꾸준함의 가치, 고통을 통과하는 법. 하루키 팬이 아니어도 달리기를 하는 사람이라면 공감하고, 달리기를 안 해도 삶에 대한 통찰을 얻을 수 있다. 스테디셀러인 이유가 있다."
에세이,20,인생에 가장 가까운 것,제임스 우드,아를,15300,"문학과 삶에 대한 성찰.","문학이 왜 인생에 가장 가까운 것인지.","소설이 왜 중요한가? 문학평론가 제임스 우드가 문학과 삶의 관계를 탐구한다. 소설이 현실보다 더 현실적일 수 있는 이유, 허구가 진실을 드러내는 방식. 문학을 사랑하는 독자에게는 확인이, 문학을 멀리한 독자에게는 새로운 시작이 될 책."
인문학,1,인생을 위한 최소한의 생각,"신영준, 고영성",상상스퀘어,17820,"거인들의 통찰로 삶의 중심 세우기.","생각의 멸종 시대에 의미를 찾는 방법.","릴스 15초 틱톡 60초에 익숙해진 우리의 사고력은 점점 얕아지고 있다. 이 책은 깊은 사유가 사라진 시대에 경종을 울린다. 에픽테토스부터 쇼펜하우어까지 거인들의 통찰을 빌려 삶의 중심을 세우는 최소한의 생각법을 제안한다. 풍요는 삶을 편하게 하지만 의미를 부여하지는 못한다. 인류 역사상 가장 풍요로운 시대인데 왜 불안과 공허가 끊이지 않는가. 실천 없는 자기계발에 지친 세대에게 울림이 크다."
인문학,2,완벽한 원시인,자청,필로틱,19800,"10만년 전 DNA에 맞춘 뇌 리셋.","인문학+뇌과학 융합의 새로운 자기계발.","자기계발과 인문학의 경계에 있는 독특한 책. 수렵채집 시대의 DNA라는 인문학적 관점에서 출발해 뇌과학적 근거로 현대인의 오작동을 진단한다. 15개 리셋 버튼이라는 구체적 실행법까지 제시해 이론과 실천을 동시에 잡았다."
인문학,3,살면서 한번은 벽돌책,장강명,글항아리,17550,"벽돌책 100권 감상록.","고전 입문의 최적 가이드.","유튜브 요약본으로 책을 대신하고 있다면 경종을 울리는 책. 700쪽짜리 고전을 읽어야 하는 이유는 중단 없는 연속적 사유 때문이다. 10년간 벽돌책 100권을 읽은 장강명의 감상록은 동시에 고전 입문 가이드다. 어떤 벽돌책을 먼저 읽을지 모르겠다면 이 책이 안내해준다. 깊이 있는 사유의 경험이 점점 희귀해지는 시대에 필요한 책."
인문학,4,"소유하기, 소유되기",율라 비스,열린책들,19800,"소유와 자본주의 탐구.","물건이 우리를 소유하는 역설.","소유라는 개념의 근본을 파고드는 철학적 에세이. 우리가 물건을 소유하는가 물건이 우리를 소유하는가라는 질문이 자본주의 사회의 핵심을 찌른다. 미니멀리즘 트렌드를 넘어 소유의 의미 자체를 철학적으로 탐구한다."
인문학,5,최소한의 삼국지,최태성,프런트페이지,17550,"큰별쌤의 삼국지 압축.","방대한 서사를 쉽고 재미있게.","삼국지를 읽고 싶지만 너무 길어서 엄두가 안 나는 사람을 위한 책. 큰별쌤 최태성이 방대한 삼국지를 핵심만 쉽고 재미있게 압축했다. 조조와 유비와 제갈공명의 전략이 현대의 비즈니스와 인간관계에도 적용된다는 걸 보여준다. 교양으로서의 삼국지를 가장 쉽게 만나는 방법."
인문학,6,위버멘쉬,니체,RISE(떠오름),16020,"니체의 초인 사상.","자기 삶의 가치를 스스로 만드는 사람.","사회가 정한 기준에 맞춰 살다 보면 문득 묻게 된다. 이게 내 삶인가? 니체의 위버멘쉬는 초인이 아니다. 순종하는 낙타에서 반항하는 사자로, 다시 새롭게 놀이하듯 가치를 창조하는 어린이로. 타인의 기준이 아닌 자기 삶의 가치를 스스로 만드는 사람이 되고 싶다면 니체를 읽을 때다."
인문학,7,쾌적한 사회의 불쾌함,구마시로 도루,생각지도,18900,"편리함 뒤의 불쾌함.","쾌적함에 중독된 시대의 사회철학.","배달 앱으로 30분 만에 음식이 오고 버튼 하나로 모든 게 해결되는 시대. 그런데 왜 불쾌함은 줄지 않을까? 편리함이 만들어낸 새로운 불쾌함의 구조를 분석한다. 작은 불편도 참지 못하는 사회, 효율 뒤에 숨겨진 감정노동, 쾌적함 중독의 대가. 우리가 놓치고 있는 것들을 자각하게 해준다."
인문학,8,뇌는 어떻게 나를 조종하는가,크리스 나이바우어,클랩북스,16920,"좌뇌 해석자의 자아 환상.","뇌과학으로 이해하는 나의 작동 원리.","좌뇌의 해석자가 끊임없이 스토리를 지어내고 있다는 사실을 알면 불필요한 자기 비난과 불안에서 벗어날 수 있다. 심리학보다 깊고 철학보다 실용적인 뇌과학 자기이해서. 자기 비난이 습관인 사람에게 특히 유용하다."
인문학,9,너를 기다릴 시간에 나를 사랑하기로 했다,질리언 투레키,부키,17550,"자기 사랑 철학.","모든 관계의 기초는 자기 사랑.","타인에게 쏟던 에너지를 자신에게 돌리는 자기 사랑의 철학. 인문학적 깊이로 자존감과 관계의 본질을 다룬다. 연애든 직장이든 모든 관계의 기초는 자기 사랑이라는 메시지가 일관되게 흐른다."
인문학,10,니체의 초월자,니체,히읏,15210,"니체 원전 핵심 입문.","자기 극복과 초월의 철학.","위버멘쉬를 읽고 니체에 빠졌다면 이 책으로 한 단계 더. 니체 원전의 핵심만 추린 입문서로 자기 극복과 초월의 철학을 더 깊이 파고든다. 두 권을 함께 읽으면 니체가 왜 150년이 지나도 읽히는지 이해하게 된다."
인문학,11,빅터 프랭클의 죽음의 수용소에서,빅터 프랭클,청아출판사,10800,"나치 수용소 생존 증언. 1200만부.","삶의 의미를 찾는 자는 어떤 고통도 견딘다.","나치 수용소에서 가족을 잃고 극한의 고통 속에서도 살아남은 정신과 의사의 증언. 인간은 어떤 상황에서도 태도를 선택할 자유가 있다는 프랭클의 주장은 로고테라피의 기초가 되었다. 의미를 잃었을 때 바닥에서 올려다보는 빛이 되어주는 책. 전 세계 1200만부."
인문학,12,삶을 의미 있게 만들어주는 일상의 철학,오이겐 M. 슐라크,빚은책들,4500,"일상 속 철학.","4500원에 만나는 철학적 위로.","철학이 어렵고 거창한 것이라는 편견을 깨는 책. 일상의 작은 순간에서 철학적 의미를 발견한다. 4500원이라는 파격적 가격으로 부담 없이 철학을 시작할 수 있다. 거창하지 않은 삶의 철학 입문으로 최적."
인문학,13,우리가 사랑한 도시,"김지윤, 전은환",북다,15750,"도시의 기억과 감성.","장소가 품은 이야기들의 기록.","도시는 건물의 집합이 아니라 기억의 집합이다. 특정 장소에 얽힌 기억과 감성을 따라가는 인문 에세이. 여행을 좋아하는 사람에게는 새로운 도시를 보는 시선을, 일상에 지친 사람에게는 익숙한 도시를 새롭게 보는 눈을 선물한다."
인문학,14,인류학자처럼 생각하는 법,매슈 엥글키,오월의봄,23400,"인류학적 사고법.","익숙한 것을 낯설게 보는 힘.","당연한 것을 당연하지 않게 보는 힘이 인류학의 핵심이다. 왜 한국인은 밥을 먹으면서 TV를 볼까? 이런 질문을 던지면 새로운 세계가 열린다. 마케터와 기획자에게는 소비자를 낯선 눈으로 보는 무기가 되고, 일반 독자에게는 관점의 전환을 선물한다."
인문학,15,사피엔스,유발 하라리,김영사,24120,"인류 25만년 3대 혁명. 2500만부.","세상을 보는 근본적 프레임을 바꿔주는 책.","인류 25만 년의 역사를 인지혁명, 농업혁명, 과학혁명으로 관통한다. 돈, 종교, 국가, 법률이 모두 허구의 산물이라는 하라리의 주장은 충격적이면서도 설득력 있다. 읽고 나면 뉴스가 다르게 보이고 세상이 다르게 읽힌다. 2500만부가 팔린 데는 이유가 있다."
인문학,16,"총, 균, 쇠",재레드 다이아몬드,김영사,26820,"지리와 환경이 문명을 결정한다. 퓰리처상.","인류사의 가장 큰 질문에 답하는 책.","왜 유럽이 아메리카를 정복했고 그 반대가 아니었을까? 재레드 다이아몬드는 인종이 아니라 지리와 환경이 문명의 발전 속도를 결정했다고 답한다. 퓰리처상 수상. 인류사의 가장 큰 질문에 과학적으로 답하는 이 책은 교양의 기초를 세워준다."
인문학,17,손자병법,손무,현대지성,11700,"2500년 전략의 고전.","모든 경쟁의 기본 원리를 담은 고전.","지피지기면 백전불태. 2500년 전 전쟁 전략서의 원리가 현대 비즈니스에도 그대로 적용된다. 경쟁 상황에서 어떻게 판을 읽고 어떻게 움직여야 하는지를 가르쳐주는 인류 최고의 전략 고전. 11700원에 만날 수 있다."
인문학,18,편안함의 습격,마이클 이스터,수오서재,19800,"편안함이 우리를 약하게 만드는 역설.","불편함이 성장의 도구인 이유.","편안함을 추구하는 건 인간의 본능이다. 하지만 지나친 편안함이 오히려 우리를 약하게 만든다. 이 책은 의도적 불편함이 어떻게 신체적, 정신적 성장을 이끄는지를 과학적으로 설명한다. 쾌적한 사회의 불쾌함과 함께 읽으면 시너지가 크다."
인문학,19,고대 이집트의 밤하늘,유성환,휴머니스트,26100,"고대 이집트 천문학.","하늘을 올려다본 최초의 인류.","고대 이집트인들은 밤하늘에서 무엇을 보았을까? 피라미드의 정렬, 달력의 발명, 별자리의 기원까지. 천문학의 역사를 고대 이집트에서 시작하는 이 책은 과학과 역사와 신화가 교차하는 매력적인 인문서다. 밤하늘을 올려다보는 행위의 의미가 달라진다."
인문학,20,오래된 세계의 농담,이다혜,오리지널스,16200,"영화 평론가의 문화 에세이.","유머와 사유가 공존하는 문체.","영화와 문학과 일상을 넘나들며 세상을 관찰하는 이다혜의 문화 에세이. 유머와 사유가 공존하는 독특한 문체가 매력이다. 문화 콘텐츠를 많이 소비하는 독자라면 페이지마다 공감 포인트를 발견하게 된다."
사회과학,1,일본 광고 카피 도감,오하림,서교책방,16920,"일본 명작 광고 카피 큐레이션.","한 문장의 힘을 보여주는 영감 사전.","짧은 한 문장이 사람의 마음을 어떻게 움직이는지를 일본 광고 카피를 통해 보여준다. 마케터뿐 아니라 글을 쓰는 모든 사람에게 영감의 원천. 사회과학 카테고리에 있지만 크리에이티브 레퍼런스로서 가치가 압도적이다."
사회과학,2,미국은 왜 전쟁을 멈추지 못하는가,"윌리엄 D. 하텅, 벤 프리먼",부키,22500,"군산복합체와 전쟁 경제.","뉴스 너머의 구조를 읽는 눈.","미국의 국방 예산은 왜 줄지 않을까? 군산복합체라는 거대한 시스템이 전쟁 경제를 어떻게 유지하는지를 구조적으로 분석한다. 국제 정세가 경제와 투자에 미치는 영향을 이해하려면 이 구조를 알아야 한다. 뉴스의 표면이 아닌 심층을 읽는 눈을 길러준다."
사회과학,3,쾌적한 사회의 불쾌함,구마시로 도루,생각지도,18900,"편리함이 만든 새로운 불쾌함.","효율 뒤에 숨은 사회 구조의 문제.","모든 것이 빠르고 편해졌는데 왜 불쾌함은 줄지 않을까? 배달 리뷰 테러, 고객 갑질, 감정노동의 증가. 쾌적함을 당연시하면서 생긴 새로운 사회 문제를 분석한다. 편리함의 수혜자인 우리가 동시에 불쾌함의 원인이 되고 있다는 자각을 준다."
사회과학,4,예루살렘의 아이히만,한나 아렌트,한길사,27000,"악의 평범성. 20세기 가장 중요한 정치철학서.","악은 괴물이 아니라 평범한 사람이 저지른다.","나치 전범 아이히만의 재판을 참관한 한나 아렌트가 발견한 것은 충격적이었다. 아이히만은 괴물이 아니라 명령에 순종한 평범한 관료였다. 악의 평범성이라는 개념은 20세기 가장 중요한 정치철학적 통찰 중 하나다. 20년만의 전면 개정판으로 새 번역과 해설이 추가됐다."
사회과학,5,숨은민국,김미영,세이지,18000,"대한민국의 숨겨진 사회 구조.","우리가 모르는 대한민국의 이면.","우리가 사는 대한민국에는 보이지 않는 구조가 있다. 이 책은 드러나지 않는 사회 구조와 권력의 작동 방식을 파헤친다. 뉴스에서 다루지 않는 이야기, 통계에 잡히지 않는 현실. 대한민국을 더 깊이 이해하고 싶다면."
사회과학,6,필연적 혼자의 시대,김수영,다산초당,17100,"1인 가구 시대의 사회학.","혼자 사는 것이 선택이 아닌 필연이 된 시대.","혼자 사는 건 더 이상 선택이 아니다. 구조적으로 혼자가 될 수밖에 없는 시대가 왔다. 이 책은 1인 가구 시대를 개인의 문제가 아닌 사회 구조의 관점에서 분석한다. 혼자 살고 있거나 살게 될 대부분의 현대인에게 자신의 삶을 이해하는 렌즈를 제공한다."
사회과학,7,인류학자처럼 생각하는 법,매슈 엥글키,오월의봄,23400,"인류학적 사고법.","당연한 것을 낯설게 보는 힘.","익숙한 것을 낯설게 보는 인류학적 시선은 사회를 이해하는 가장 강력한 도구다. 이 책은 그 시선을 키우는 방법을 알려준다. 사회과학적 사고의 기초를 세우기에 최적의 입문서."
사회과학,8,사피엔스,유발 하라리,김영사,24120,"인류사 교양서. 2500만부.","교양의 기초를 세우는 필독서.","인류 25만 년의 역사를 관통하는 시야. 돈, 종교, 국가가 모두 허구의 산물이라는 통찰은 사회 구조를 이해하는 근본적 프레임을 제공한다."
사회과학,9,"총, 균, 쇠",재레드 다이아몬드,김영사,26820,"문명 발전의 지리적 결정론. 퓰리처상.","왜 서양이 지배하게 되었나에 대한 과학적 답.","지리와 환경이 문명의 발전 속도를 결정했다는 혁신적 주장. 인종주의적 설명을 과학적으로 반박하면서 인류사의 가장 큰 불평등을 설명한다. 퓰리처상 수상작."
사회과학,10,이해찬 회고록,이해찬,돌베개,20700,"전 더불어민주당 대표의 정치 회고록.","한국 정치사의 한 단면.","한국 정치의 한 시대를 이끌었던 이해찬의 정치 회고록. 노무현 정부부터 문재인 정부까지 핵심 인물이 직접 기록한 정치사. 어떤 정치적 입장이든 한국 정치의 내부를 이해하는 데 귀중한 1차 자료."
사회과학,11,먼저 온 미래,장강명,동아시아,18000,"AI/인구감소/기후위기 탐색.","미래 이슈를 작가의 시선으로.","AI, 인구 감소, 기후위기. 이미 도착한 미래를 소설가 장강명의 시선으로 탐색한다. 전문가의 분석이 아닌 작가의 감수성으로 미래를 읽는 독특한 관점이 매력이다."
사회과학,12,사회복지학개론,권중돈,학지사,27000,"사회복지학 교과서.","사회복지를 체계적으로 이해하는 입문서.","사회복지학을 처음 공부하는 학생과 관심 있는 일반인을 위한 체계적 입문서. 사회복지의 이론과 실제를 포괄적으로 다룬다."
사회과학,13,정의란 무엇인가,마이클 샌델,와이즈베리,16200,"하버드 명강의. 300만부.","철학이 이렇게 재미있을 수 있다.","트롤리 딜레마로 시작하는 하버드 최고 인기 강의. 일상의 사례로 정의를 묻는 이 책은 300만부가 팔리며 교양서의 정석이 되었다. 면접 준비든 세상 이해든 토론 능력이든 여러모로 유용하다."
사회과학,14,탐욕스러운 돌봄,신성아,한겨레출판,16200,"돌봄 노동의 구조적 문제.","돌봄이 왜 탐욕스러운가.","돌봄은 아름다운 단어지만 그 안에 구조적 착취가 숨어있다. 돌봄 노동의 대가는 누가 치르고 있는가? 이 책은 돌봄의 이면에 있는 불평등을 파헤친다. 고령화 사회를 살아가는 모든 세대가 읽어야 할 사회 비평."
