카테고리,순위,제목,저자,출판사,가격,써머리
인문학,24,니체 수업,진은영,창비,,"시인이 들려주는 니체 가이드. 문학적 감성으로 풀어낸 철학 입문"
인문학,25,예루살렘의 아이히만 (전면개정판),한나 아렌트,한길사,27000,"악의 평범성을 제시한 20세기 가장 중요한 정치철학서. 20년만 전면개정"
인문학,26,정의란 무엇인가,마이클 샌델,와이즈베리,16200,"하버드 명강의. 공리주의/자유주의/공동체주의를 넘나드는 정의 논쟁. 누적 300만부"
인문학,27,미디어고고학이란 무엇인가?,유시 파리카,현실문화,25200,"과거 미디어로 현재를 이해하는 새로운 학문 입문"
인문학,28,먼저 온 미래,장강명,동아시아,18000,"AI/인구감소/기후위기 등 먼저 도착한 미래 이슈를 작가의 시선으로 탐색"
인문학,29,"다시, 공부머리 독서법",최승필,책구루,18900,"독서가 공부 능력을 키우는 과학적 근거와 실천법"
인문학,30,초판본 군주론,마키아벨리,더스토리,2690,"목적이 수단을 정당화한다. 500년간 읽히는 권력과 리더십의 고전. 2690원 파격가"
2030_소설,1,괴테는 모든 것을 말했다,스즈키 유이,리프,15300,"[핵심] 23세 아쿠타가와상 수상작. 언어/문학/사랑의 본질 탐구. [추천] 7주 연속 1위. [후기] 문장 하나하나가 아름답다. 평점 8.0"
2030_소설,2,자몽살구클럽,한로로,어센틱,10800,"[핵심] 네 여중생이 20일간 살아갈 이유를 찾는 이야기. [추천] 1시간 완독. 동명 EP와 세계관 연결. [후기] 손을 꽉 쥐게 되는 애잔함"
2030_소설,3,프로젝트 헤일메리,앤디 위어,RHK,19800,"[핵심] 외계 생명체 록키와 우정을 쌓으며 지구를 구하는 SF. [추천] 빌 게이츠+오바마 추천. 30개국 1위. [후기] 록키를 잊을 수 없다. 평점 9.4"
2030_소설,4,나의 완벽한 장례식,조현선,북로망스,17100,"[핵심] 죽은 영혼들의 미완의 부탁을 들어주는 병원 매점 알바생. [추천] 따뜻한 판타지. [후기] 마지막 장을 덮은 뒤에도 온기가 남는다"
2030_소설,5,혼모노,성해나,창비,16200,"[핵심] 진짜란 무엇인가를 묻는 단편집. [추천] 젊은작가상+이효석문학상. [후기] 작가의 신명이 느껴진다"
2030_소설,6,안녕이라 그랬어,김애란,문학동네,15120,"[핵심] 이별과 상실 속 삶을 이어가는 인물들. [추천] 한국 문학 대표 감성. [후기] 김애란의 문장은 위로 그 자체"
2030_소설,7,죽은 왕녀를 위한 파반느,박민규,위즈덤하우스,18000,"[핵심] 슬픔과 아름다움의 독특한 문체. [추천] 한국소설 문체의 기념비. [후기] 슬프고 아름다운 한국어의 극치"
2030_소설,8,시간관리국,캘리앤 브래들리,비채,17820,"[핵심] 시간 관리 비밀 기관 배경 로맨스 판타지. [추천] 시간+사랑의 매력적 조합"
2030_소설,9,약속의 세대,백온유,문학동네,16200,"[핵심] 세대 간 약속과 연대. [추천] 2026 주목 신예 작가"
2030_소설,10,모순,양귀자,쓰다,11700,"[핵심] 25세 여성의 모순투성이 삶. [추천] 1998년작 26년째 역주행. [후기] 삶이 이해되지 않는 모든 사람에게"
2030_경제,1,연금 부자 수업,박곰희,인플루엔셜,18900,"[핵심] 4개 절세 통장으로 월 300만원. 4% 룰. [추천] 95만 유튜버. 투자 여력별 포트폴리오. [후기] 연금 준비의 모든 것이 담겨있다"
2030_경제,2,코스피 1만 넥스트 레벨,박시동,지와인,19800,"[핵심] 코스피 1만 시대 투자 전략. [추천] 설명 천재 박시동의 생활 언어 실전서"
2030_경제,3,돈의 방정식,모건 하우절,서삼독,25200,"[핵심] 부=가진 것-원하는 것. [추천] 돈의 심리학 후속. [후기] 돈에 대한 관점이 완전히 바뀌었다"
2030_경제,4,환율의 대전환,오건영,,,"[핵심] 환율 변동과 자산 영향. [추천] 부의 대이동 50만 독자의 신작. 30대 남성 1위. eBook 1위"
2030_경제,5,자본주의 시대 최소한의 경제 공부,백억남,하이스트,25200,"[핵심] 자본주의 구조와 돈의 흐름. [추천] 경제 유튜버의 쉬운 경제 입문"
2030_경제,6,"1,000만원으로 월배당 300만원",인생업,경이로움,20700,"[핵심] 소액 월배당 포트폴리오 구축. [추천] 구체적 종목과 비율까지 안내"
2030_경제,7,나의 첫 월배당 ETF,김정란,토네이도,19800,"[핵심] ETF 선택~포트폴리오 구성. [추천] ETF 투자 입문자 최적"
2030_경제,8,박태웅의 AI 강의 2026,박태웅,한빛비즈,20700,"[핵심] AI 시대 비즈니스 변화. [추천] 2026 최신 AI 트렌드 경영 관점 해설"
2030_경제,9,진보를 위한 주식투자,이광수,21세기북스,19800,"[핵심] 가치관과 투자의 양립. [추천] 사회적 책임 투자라는 새로운 관점"
2030_경제,10,트렌드 코리아 2026,김난도 외,미래의창,,"[핵심] 2026 소비 키워드 10가지. [추천] 마케터/기획자 필수. 5주 연속 1위"
2030_자기계발,1,완벽한 원시인,자청,필로틱,19800,"[핵심] 15개 뇌 리셋 버튼을 5단계로 정렬. [추천] 역행자 100만부 후속. 출간 즉시 1위. [후기] 3개월 후 아침이 달라진다"
2030_자기계발,2,인생을 위한 최소한의 생각,"신영준, 고영성",상상스퀘어,17820,"[핵심] 거인들의 통찰로 삶의 중심 세우기. [추천] 풍요는 편하게 하지만 의미를 주진 못한다"
2030_자기계발,3,생각의 도약,도야마 시게히코,페이지2,16200,"[핵심] 사고의 틀을 깨는 기술. [추천] 기획자/마케터에게 추천"
2030_자기계발,4,집중력 죽이기,마크 티흐헬라르 외,서삼독,17100,"[핵심] 디지털 시대 집중력 회복법. [추천] 멀티태스킹 함정+딥워크 전략. 스마트폰에 지배당하는 2030 필독"
2030_자기계발,5,쓰는 만큼 내가 된다,리니,더퀘스트,16200,"[핵심] 글쓰기로 자기 발견. [추천] 기록하는 2030에게"
2030_자기계발,6,아주 작은 습관의 힘,제임스 클리어,비즈니스북스,16200,"[핵심] 매일 1% 복리 습관. 4단계 법칙. [추천] 전 세계 1500만부. [후기] 인생에서 가장 영향력 있었던 책"
2030_자기계발,7,렛뎀 이론,멜 로빈스,비즈니스북스,18000,"[핵심] 타인 통제를 멈추고 나에게 집중. [추천] 비교/두려움/의심 극복. [후기] 인간관계 스트레스가 확 줄었다"
2030_자기계발,8,더 시스템,스콧 애덤스,베리북,16200,"[핵심] 목표가 아닌 시스템을 세워라. [추천] 딜버트 창시자의 역발상 성공론"
2030_자기계발,9,딱 1년만 미쳐라,리치파카,모티브,17820,"[핵심] 1년 몰입으로 인생 전환. [추천] 행동력 부족한 2030에게"
2030_자기계발,10,뇌는 어떻게 나를 조종하는가,크리스 나이바우어,클랩북스,16920,"[핵심] 좌뇌 해석자가 만드는 자아의 환상. [추천] 뇌과학 기반 자기이해"
2030_에세이,1,엄마와 딸들의 미친년의 역사,이랑,이야기장수,16020,"[핵심] 언니의 소진사에서 출발한 여성 가족사. [추천] 종합 4위. 일본/대만 역수입. [후기] 슬픔의 역사이면서 사랑의 기록"
2030_에세이,2,사랑이 있으니 살아집디다,"유시민, 김세라",은빛,16200,"[핵심] 부녀의 세대를 넘는 대화. [추천] 같은 주제를 다른 세대의 눈으로"
2030_에세이,3,정답은 있다,이정효,다산북스,16200,"[핵심] 축구 감독의 리더십+인생. [추천] 스포츠를 넘어 삶의 방향을 묻는다"
2030_에세이,4,느슨한 균형,쑥,위즈덤하우스,17100,"[핵심] 완벽하지 않아도 괜찮다. [추천] 느슨하게 단단하게. 일상의 위안"
2030_에세이,5,행복할 거야 이래도 되나 싶을 정도로,일홍,부크럼,16200,"[핵심] 행복=과정. 일상의 작은 행복. [추천] 누적 10만부. [후기] 올해 가장 많이 선물한 책"
2030_에세이,6,쓰는 만큼 내가 된다,리니,더퀘스트,16200,"[핵심] 쓰는 습관이 나를 만든다. [추천] 글쓰기x자기발견"
2030_에세이,7,불안,알랭 드 보통,은행나무,16200,"[핵심] 지위 불안의 철학적 탐구. [추천] 불안한 시대의 고전적 위로"
2030_에세이,8,어른의 행복은 조용하다,태수,페이지2,16020,"[핵심] 단단한 일상적 행복. [추천] 성숙한 어른의 행복 정의"
2030_에세이,9,구원에게,정영욱,부크럼,16200,"[핵심] 사랑/이별/일상의 감정. [추천] 감성 에세이 스테디"
2030_에세이,10,소년과 두더지와 여우와 말,찰리 맥커시,상상의힘,19800,"[핵심] 네 친구의 인생 대화. [추천] 그림+글 힐링. 1000만부. [후기] 가장 용감한 것은 도움을 구하는 것이라는 문장에 울었다"
2030_인문,1,살면서 한번은 벽돌책,장강명,글항아리,17550,"[핵심] 벽돌책 100권 감상록. [추천] 중단 없는 연속적 사유의 힘. 고전 입문 최적"
2030_인문,2,위버멘쉬,니체,RISE(떠오름),16020,"[핵심] 낙타-사자-어린이 3단계 자기극복. [추천] 니체 입문 최적서. 삶을 놀이로 긍정하라"
2030_인문,3,뇌는 어떻게 나를 조종하는가,크리스 나이바우어,클랩북스,16920,"[핵심] 좌뇌 해석자의 자아 환상. [추천] 뇌과학x심리학 자기이해"
2030_인문,4,사피엔스,유발 하라리,김영사,24120,"[핵심] 인류 25만년 3대 혁명. [추천] 2500만부 교양 필독. [후기] 세상을 보는 눈이 완전히 달라진다"
2030_인문,5,사랑의 기술,에리히 프롬,문예출판사,15300,"[핵심] 사랑은 감정이 아닌 기술. 4요소: 보호/책임/존경/지식. [추천] 연애/결혼 전 필독. [후기] 사랑에 대해 가장 깊이 생각하게 만든 책"
2030_인문,6,인류학자처럼 생각하는 법,매슈 엥글키,오월의봄,23400,"[핵심] 인류학적 사고의 힘. [추천] 익숙한 것을 새롭게 볼 시각 확장"
2030_인문,7,빅터 프랭클의 죽음의 수용소에서,빅터 프랭클,청아출판사,10800,"[핵심] 나치 수용소 생존 증언. [추천] 인생의 벽에 부딪혔을 때. 1200만부"
2030_인문,8,쾌적한 사회의 불쾌함,구마시로 도루,생각지도,18900,"[핵심] 편리한 사회의 숨은 불쾌함. [추천] 효율 뒤에 숨은 사회 구조 문제"
2030_인문,9,정의란 무엇인가,마이클 샌델,와이즈베리,16200,"[핵심] 정의에 대한 철학적 논쟁. [추천] 하버드 명강의. 300만부. [후기] 철학이 이렇게 재미있을 수 있다니"
2030_인문,10,니체의 초월자,니체,히읏,15210,"[핵심] 니체 원전 핵심 추린 입문. [추천] 위버멘쉬와 함께 읽으면 시너지"
